,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
42,BBC News (World),"RT @BBCNorthAmerica: Senator Bernie Sanders addresses supporters in his home state of Vermont on #SuperTuesday

""We're going to win because…",Wed Mar 04 03:19:40 +0000 2020,0.7717,0.271,0.729,0.0
43,BBC News (World),"Bernie Sanders is projected to win Colorado, where 67 delegates are at stake 

Follow live results:… https://t.co/5RupUhi33t",Wed Mar 04 02:50:17 +0000 2020,0.5859,0.192,0.808,0.0
44,BBC News (World),RT @NickBryantNY: Joe Biden benefited enormously from short turnaround between South Carolina and Super Tuesday.  A problem in Iowa and New…,Wed Mar 04 02:48:16 +0000 2020,0.296,0.159,0.732,0.11
45,BBC News (World),"Joe Biden is projected to win Tennessee, with 64 delegates at stake 

Voting was extended after 25 people were kill… https://t.co/LmomrFrX2x",Wed Mar 04 02:31:49 +0000 2020,0.5859,0.16,0.84,0.0
46,BBC News (World),Why the Latino vote matters on #SuperTuesday 👇 https://t.co/7jWBUlIZr7,Wed Mar 04 02:14:18 +0000 2020,0.0258,0.091,0.909,0.0
47,BBC News (World),RT @BBCNorthAmerica: The BBC's @davidgrossman found Mike Bloomberg's campaign offices empty in California - the state with the largest numb…,Wed Mar 04 01:22:34 +0000 2020,-0.2023,0.0,0.909,0.091
48,BBC News (World),"RT @BBCNorthAmerica: Joe Biden is projected to win Alabama, but three other states are still tossups

❓Massachusetts
❓Oklahoma
❓Maine

Foll…",Wed Mar 04 01:18:15 +0000 2020,0.34,0.112,0.888,0.0
49,BBC News (World),"Joe Biden is projected to win Alabama, where 52 delegates are at stake 

Follow our live results:… https://t.co/rKaScLK4tV",Wed Mar 04 01:09:13 +0000 2020,0.5859,0.183,0.817,0.0
50,BBC News (World),"Joe Biden is projected to win North Carolina, where 110 delegates are at stake

Follow our live results:… https://t.co/l8nRz1cZYR",Wed Mar 04 00:33:48 +0000 2020,0.5859,0.174,0.826,0.0
51,BBC News (World),"Joe Biden is projected to win Virginia, where 99 delegates are at stake

Follow our live results:… https://t.co/u3PY06XVkP",Wed Mar 04 00:17:22 +0000 2020,0.5859,0.183,0.817,0.0
52,BBC News (World),Tedros Adhanom Ghebreyesus: The Ethiopian at the heart of the coronavirus fight https://t.co/MnE4q08FGb,Wed Mar 04 00:16:21 +0000 2020,-0.3818,0.0,0.822,0.178
53,BBC News (World),Super Tuesday: Biden and Sanders take early lead https://t.co/hnKbrc8eSv,Wed Mar 04 00:13:27 +0000 2020,0.5994,0.328,0.672,0.0
54,BBC News (World),"Bernie Sanders is projected to win his home state of Vermont, which has 16 delegates 

Follow our live results:… https://t.co/wvyCT6Drhm",Wed Mar 04 00:13:10 +0000 2020,0.5859,0.167,0.833,0.0
55,BBC News (World),Slovakia's Matovic: Europe's Mr Ordinary prepares for power https://t.co/43GbT809SY,Wed Mar 04 00:06:40 +0000 2020,0.0,0.0,1.0,0.0
56,BBC News (World),Delhi riots: How Muslims' homes were targeted and burnt https://t.co/yarviketjE,Wed Mar 04 00:04:20 +0000 2020,-0.5106,0.0,0.732,0.268
57,BBC News (World),"After lagging in early contests, former VP Joe Biden has got a boost from some key endorsements - including his for… https://t.co/Xygl3SJ1rA",Tue Mar 03 23:42:41 +0000 2020,0.1531,0.118,0.789,0.092
58,BBC News (World),"Tonight, eyes are on the current Democratic front-runner, Senator Bernie Sanders

What does the senator promise to… https://t.co/6XE78w7X84",Tue Mar 03 23:34:29 +0000 2020,0.3182,0.119,0.881,0.0
59,BBC News (World),"Time for a pop quiz

Can you match the A-list celebrity to the presidential candidate they're supporting?… https://t.co/F2cANn5eVi",Tue Mar 03 23:33:28 +0000 2020,0.0,0.0,1.0,0.0
60,CBS News,"Joe Biden says he ""won Minnesota because of Amy Klobuchar"" and is ""doing well in Texas"" because of Beto O'Rourke. B… https://t.co/656OvwwB7P",Wed Mar 04 03:35:47 +0000 2020,0.7003,0.225,0.775,0.0
61,CBS News,"With about 40 percent of the expected vote in, the race in Texas is still a toss-up between Sanders and Biden.… https://t.co/hlM316lm5z",Wed Mar 04 03:35:23 +0000 2020,0.0,0.0,1.0,0.0
62,CBS News,"The current CBS News delegate estimate at 10:30pm. 

https://t.co/dejxP1swQq https://t.co/ZJ33hrv4cv",Wed Mar 04 03:34:13 +0000 2020,0.0,0.0,1.0,0.0
63,CBS News,"CBS News projects Biden wins the Minnesota primary. 

https://t.co/dejxP1swQq https://t.co/NamornEojM",Wed Mar 04 03:32:00 +0000 2020,0.5719,0.291,0.709,0.0
64,CBS News,"RT @adam_brew: .@CBSNews projects Bernie Sanders wins the Utah primary. 

These are the races CBS News has called at this point: 
Vermont -…",Wed Mar 04 03:31:49 +0000 2020,0.5719,0.144,0.856,0.0
65,CBS News,"CBS News projects Bernie Sanders wins Utah. 

https://t.co/dejxP1swQq https://t.co/myaRij0b5S",Wed Mar 04 03:29:34 +0000 2020,0.5719,0.316,0.684,0.0
66,CBS News,"Joe Biden: ""We were told when we got to Super Tuesday, it'll be over. Well, it may be over for the other guy.""… https://t.co/PH1zCsZ1E4",Wed Mar 04 03:28:34 +0000 2020,0.7184,0.214,0.786,0.0
67,CBS News,WATCH LIVE: Joe Biden speaks to supporters in Los Angeles after a sweep of Super Tuesday victories has put him in t… https://t.co/lFvMVlXVb1,Wed Mar 04 03:24:58 +0000 2020,0.7783,0.254,0.746,0.0
68,CBS News,RT @CHueyBurns: I think one of the biggest stories of the night is the power of the late deciders. Some anecdotes in this thread: https://t…,Wed Mar 04 03:22:55 +0000 2020,0.0,0.0,1.0,0.0
69,CBS News,"Dylan Farrow calls publishing of Woody Allen's upcoming memoir an ""utter betrayal"" https://t.co/azWerFNIgf https://t.co/NJPOPDvV4Z",Wed Mar 04 03:20:01 +0000 2020,-0.5859,0.0,0.774,0.226
70,CBS News,"RT @EwallWice: Updated projections from @CBSNews:

@JoeBiden wins: Arkansas, Oklahoma, Virginia, Alabama, North Carolina, Tennessee

@Berni…",Wed Mar 04 03:14:54 +0000 2020,0.5719,0.198,0.802,0.0
71,CBS News,"CBS News estimates Minnesota leans towards Joe Biden. 

https://t.co/dejxP1swQq https://t.co/gdpXU25kyE",Wed Mar 04 03:13:12 +0000 2020,0.0,0.0,1.0,0.0
72,CBS News,"CBS News projects Joe Biden wins the Arkansas primary. 

https://t.co/dejxP1aVYS https://t.co/apXLeRF8WX",Wed Mar 04 03:11:02 +0000 2020,0.5719,0.27,0.73,0.0
73,CBS News,"Bernie Sanders tells supporters in Vermont: ""Tonight, I tell you with absolute confidence, we are going to win the… https://t.co/6nNb2WMnzZ",Wed Mar 04 03:10:41 +0000 2020,0.875,0.385,0.615,0.0
74,CBS News,"HAPPENING NOW: Bernie Sanders takes the stage to address supporters in Essex Junction, Vermont… https://t.co/PqtXeaLSPr",Wed Mar 04 03:08:14 +0000 2020,0.4404,0.172,0.828,0.0
75,CBS News,"RACE UPDATE: CBS News estimates Massachusetts leans towards Joe Biden. 
https://t.co/dejxP1swQq https://t.co/djSNsnlfI3",Wed Mar 04 03:08:01 +0000 2020,0.0,0.0,1.0,0.0
76,CBS News,"CBS News projects Joe Biden wins the Oklahoma primary. 
https://t.co/dejxP1swQq https://t.co/lYO7tttzcQ",Wed Mar 04 03:06:48 +0000 2020,0.5719,0.27,0.73,0.0
77,CBS News,".@NorahODonnell: ""Tonight, it is coming down to a two-man race for the Democratic presidential nomination. And thos… https://t.co/ClEo4U4IdG",Wed Mar 04 03:05:07 +0000 2020,0.0,0.0,1.0,0.0
78,CBS News,"The current CBS News delegate estimate as of 10pm. 

https://t.co/dejxP1swQq https://t.co/sPP3jqssev",Wed Mar 04 03:03:32 +0000 2020,0.0,0.0,1.0,0.0
79,CBS News,"School resource officer prays for students at flagpole every day
https://t.co/mzD0G9gLOv https://t.co/iq1o5OX3yI",Wed Mar 04 02:59:38 +0000 2020,0.34,0.179,0.821,0.0
80,The New York Times,Breaking News: Joe Biden won Minnesota in an upset after he was endorsed by Amy Klobuchar — his 7th victory of Supe… https://t.co/cq2yZgm1LM,Wed Mar 04 03:39:29 +0000 2020,0.4767,0.209,0.696,0.095
81,The New York Times,"Breaking News: Bernie Sanders won Utah, his 3rd victory of Super Tuesday. He also carried the state in 2016.… https://t.co/skPAIOfaJ3",Wed Mar 04 03:35:24 +0000 2020,0.8225,0.297,0.703,0.0
82,The New York Times,"RT @jennymedina: NEW: Sanders camp in California filed emergency injunction to keep Los Angeles County  polls open until 10 p.m. tonight, a…",Wed Mar 04 03:27:54 +0000 2020,-0.3818,0.0,0.89,0.11
83,The New York Times,"Joe Biden is leading the Massachusetts Democratic presidential primary, with 31% of precincts reporting. Elizabeth… https://t.co/9NGxJEohz5",Wed Mar 04 03:25:25 +0000 2020,0.0,0.0,1.0,0.0
84,The New York Times,"Ronan Farrow, the author of the book “Catch and Kill,” said on Tuesday that he would cut ties with his publisher, H… https://t.co/WCBXdnQeLV",Wed Mar 04 03:21:02 +0000 2020,-0.2732,0.0,0.913,0.087
85,The New York Times,"Breaking News: Joe Biden won Oklahoma, a state that Bernie Sanders won in 2016, and Arkansas. Follow more live upda… https://t.co/HAGh7V7Rmb",Wed Mar 04 03:11:17 +0000 2020,0.8126,0.291,0.709,0.0
86,The New York Times,Polls have now closed in Utah. Follow live results from all of the Super Tuesday states here. https://t.co/B63P81VSMW,Wed Mar 04 03:03:57 +0000 2020,0.5994,0.187,0.813,0.0
87,The New York Times,"Breaking News: Bernie Sanders won Colorado, which has a large Latino population. He did well with young voters and… https://t.co/lFhDXS3Qwn",Wed Mar 04 02:46:02 +0000 2020,0.7003,0.254,0.746,0.0
88,The New York Times,"With 16% of precincts reporting, here’s who’s leading the Minnesota Democratic presidential primary.

Follow all of… https://t.co/voVKEnLSsh",Wed Mar 04 02:34:01 +0000 2020,0.0,0.0,1.0,0.0
89,The New York Times,"RT @nytgraphics: There are at least 118 coronavirus cases in the United States. Here’s what we know about them:

https://t.co/MOCwSZydRh",Wed Mar 04 02:30:11 +0000 2020,0.4215,0.128,0.872,0.0
90,The New York Times,"Breaking News: Joe Biden won Tennessee, his 4th Super Tuesday win. He was favored by a wide margin among black vote… https://t.co/fLqotkEGbs",Wed Mar 04 02:19:17 +0000 2020,0.9349,0.455,0.545,0.0
91,The New York Times,"RT @ByMikeBaker: Coronavirus today:
• 9 dead
• Past deaths tied to virus
• 2 people in their 20s hospitalized
• 12 first responders ill
• A…",Wed Mar 04 02:16:04 +0000 2020,-0.7964,0.0,0.717,0.283
92,The New York Times,"""Bernie Sanders's advisers are saying it’s still early, which it is,"" reports @melbournecoal from Vermont. ""Texas p… https://t.co/KOTTKSgTDZ",Wed Mar 04 02:10:48 +0000 2020,0.0,0.0,1.0,0.0
93,The New York Times,"Polls have now closed in Colorado, Minnesota and Texas. Follow live results from all of the Super Tuesday states he… https://t.co/cGCEBYBzGM",Wed Mar 04 02:00:57 +0000 2020,0.5994,0.163,0.837,0.0
94,The New York Times,"With 97% of precincts reporting, these are the latest results from Virginia's Democratic presidential primary. Joe… https://t.co/Gcdox4jKbj",Wed Mar 04 01:49:31 +0000 2020,0.0,0.0,1.0,0.0
95,The New York Times,"Mike Bloomberg won American Samoa, his first win of Super Tuesday. It awards 6 delegates in all, and Tulsi Gabbard… https://t.co/HnMFFg1iBv",Wed Mar 04 01:36:24 +0000 2020,0.9371,0.474,0.526,0.0
96,The New York Times,Polls have now closed in Arkansas. Follow live results from all of the Super Tuesday states here. https://t.co/6v58odlALZ,Wed Mar 04 01:33:03 +0000 2020,0.5994,0.187,0.813,0.0
97,The New York Times,"Breaking News: Joe Biden won Alabama, his 3rd win of the night. Follow more live results from Super Tuesday.… https://t.co/EVlgAuEKSV",Wed Mar 04 01:16:43 +0000 2020,0.9081,0.401,0.599,0.0
98,The New York Times,"Polls have now closed in Alabama, Maine, Massachusetts, Oklahoma and parts of Texas. Follow live results from all o… https://t.co/WNz3g18BYb",Wed Mar 04 01:04:31 +0000 2020,0.0,0.0,1.0,0.0
99,The New York Times,Voting was extended in one North Carolina precinct until 8 p.m. Eastern because of a ballot shortage. Joe Biden was… https://t.co/slBk7ohz7v,Wed Mar 04 00:47:57 +0000 2020,-0.25,0.0,0.9,0.1
100,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
101,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
102,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
103,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
104,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
105,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
106,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
107,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
108,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
110,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
111,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
112,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
113,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
114,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
115,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
116,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
117,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
118,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
119,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
120,CNN,"BREAKING: Former Vice President Joe Biden will win the Minnesota Democratic primary, CNN projects #CNNelection… https://t.co/MUeKpLiu8J",Wed Mar 04 03:34:39 +0000 2020,0.5859,0.202,0.798,0.0
121,CNN,"“Tonight, I tell you with absolute confidence we’re going to win the Democratic nomination, and we are going to def… https://t.co/83Fxj4ptmT",Wed Mar 04 03:25:26 +0000 2020,0.7964,0.283,0.717,0.0
122,CNN,"BREAKING: Former Vice President Joe Biden will win the Arkansas Democratic primary, CNN projects #CNNelection… https://t.co/chVMGqUwhD",Wed Mar 04 03:17:19 +0000 2020,0.5859,0.202,0.798,0.0
123,CNN,"BREAKING: Former Vice President Joe Biden will win the Oklahoma Democratic primary, CNN projects #CNNelection… https://t.co/33ii0eu5ln",Wed Mar 04 03:05:12 +0000 2020,0.5859,0.202,0.798,0.0
124,CNN,This woman is sending praise to a state trooper who went above and beyond the call of duty. She says she was having… https://t.co/3wob1DPExZ,Wed Mar 04 02:58:52 +0000 2020,0.5574,0.141,0.859,0.0
125,CNN,"RT @CNNPolitics: CNN's Jake Tapper explains why Joe Biden's strong showing ""makes it less clear"" who is going to be the Democratic nominee:…",Wed Mar 04 02:53:47 +0000 2020,0.6815,0.211,0.789,0.0
126,CNN,"Bernie Sanders will win the Colorado Democratic primary, CNN projects, his second victory tonight. #CNNelection 

F… https://t.co/mAV9cyBknv",Wed Mar 04 02:48:28 +0000 2020,0.5859,0.192,0.808,0.0
127,CNN,"Joe Biden grabbed huge early victories on Super Tuesday, winning the prized Virginia and North Carolina Democratic… https://t.co/9O3Mv1bGSw",Wed Mar 04 02:46:40 +0000 2020,0.9186,0.481,0.519,0.0
128,CNN,"BREAKING: Sen. Bernie Sanders will win the Colorado Democratic primary, CNN projects #CNNElection… https://t.co/1JFCqCykmW",Wed Mar 04 02:43:08 +0000 2020,0.5859,0.226,0.774,0.0
129,CNN,"BREAKING: Former Vice President Joe Biden will win the Tennessee Democratic primary, CNN projects #CNNElection… https://t.co/CVFLFu9fho",Wed Mar 04 02:40:07 +0000 2020,0.5859,0.202,0.798,0.0
130,CNN,"RT @CNNPolitics: CNN's Van Jones breaks down the generational divide among African American voters: ""It's very interesting because there's…",Wed Mar 04 02:39:12 +0000 2020,0.4576,0.143,0.857,0.0
131,CNN,"RT @CNNPolitics: Polls have closed in 12 of tonight's 14 Super Tuesday states.

Follow live results here: https://t.co/9UfaM66l5z #CNNelect…",Wed Mar 04 02:30:07 +0000 2020,0.5994,0.178,0.822,0.0
132,CNN,"One week ago, Iran had fewer than 100 confirmed coronavirus cases. On Tuesday, Iranian authorities said there were… https://t.co/nKVEaUXVCZ",Wed Mar 04 02:20:05 +0000 2020,0.0,0.0,1.0,0.0
